UI位置/场景,UI内容,出现条件,交互方式,备注,,,,,,
左上角,第N天,游戏过程中常驻显示,点击进入主页菜单,显示当前游戏天数,,,,,,
ESC菜单,第N天,打开菜单,玩家按ESC,包含设置、音频、操作等基础功能,,,,,,
左上角,猫爪印图标,游戏过程中常驻显示,点击打开鱼图鉴,猫爪印作为图鉴入口，符合猫世界观,,,,,,
左下角,背包图标,游戏过程中常驻显示,点击打开背包,设计为猫咪旅行包，不显示复杂数值,,,,,,
左下角背包,背包页面,游戏过程中常驻显示,按B,背包页面简约快捷,,,,,, 
屏幕右下角,提竿提示,鱼漂明显下沉，进入提竿判定阶段,「鱼儿咬钩啦！」F提竿,提醒玩家进行操作,,,,,,
提竿提示下方,提竿倒计时,咬钩后短时间内,环形进度/缩短提示,提醒玩家及时操作，错过可能导致鱼逃脱,,,,,,
屏幕幕右下角短暂出现,提竿成功反馈,成功中鱼,玩家成功按F,进入遛鱼阶段,,,,,,
钓鱼状态,鱼漂反馈,玩家进入钓鱼流程,自动显示,核心反馈，不需要大量HUD,,,,,,
遛鱼状态,玩家体力,进入遛鱼阶段,自动显示,仅钓鱼过程中存在,,,,,,
遛鱼状态,鱼状态,进入遛鱼阶段,自动显示,显示鱼挣扎、疲劳等状态,,,,,,
商人,商店,游戏过程中常驻显示,靠近商人交互,商品页面,,,,,,
钓点附近,鱼展示,首次解锁新品种,自动显示,鱼种介绍特写展示,,,,,,
营地,装备与仓库,回营地打开装备,交互键打开,出行装备、仓库浏览以及追踪鱼轻提示,,,,,,
左上角图鉴,图鉴页面,打开图鉴,按M键,鱼种解锁、追踪剪影鱼种,,,,,,
